event_number,true_pid,charge,recomputed_chi2pid,sector,layer,component,sigma,dt,is_matched
9818,-999,1,0.922596,1,2,11,0.068,0.0627365,0
9821,-999,1,95.9271,1,2,39,0.091,8.72937,0
9823,211,1,0.0187888,4,2,9,0.067,0.00125885,1
9826,-999,1,226.843,3,2,19,0.075,17.0132,0
9830,211,1,99999,-1,-1,-1,-1,99999,1
9830,-999,1,107.623,1,2,50,0.1,10.7623,0
9832,211,1,0.986776,6,2,3,0.062,0.0611801,1
9838,2212,1,99999,-1,-1,-1,-1,99999,1
9842,321,1,2.25579,3,2,31,0.085,0.191742,1
9844,-999,1,128.161,6,2,42,0.094,12.0471,0
9853,2212,1,103.134,3,2,35,0.088,9.07579,1
9854,211,1,-2.03738,6,2,13,0.07,-0.142616,1
9864,211,1,0.244713,2,2,26,0.08,0.019577,1
9867,211,1,-1.5512,3,2,12,0.069,-0.107033,1
9867,211,1,99999,-1,-1,-1,-1,99999,1
9868,211,1,99999,-1,-1,-1,-1,99999,1
9868,-999,1,190.264,3,2,24,0.079,15.0308,0
9871,211,1,99999,-1,-1,-1,-1,99999,1
9873,2212,1,16.8324,1,2,7,0.065,1.09411,1
9874,211,1,0.708313,1,2,19,0.075,0.0531235,1
9876,211,1,0.416906,4,2,20,0.076,0.0316849,1
9876,-999,1,1.22303,1,2,40,0.092,0.112518,0
9887,-999,1,99999,-1,-1,-1,-1,99999,0
9888,211,1,-1.34648,2,2,13,0.07,-0.0942535,1
9890,2212,1,63.7799,5,2,31,0.085,5.42129,1
9894,211,1,99999,-1,-1,-1,-1,99999,1
9895,-999,1,43.1704,6,2,57,0.106,4.57607,0
9899,-999,1,1.99116,6,2,11,0.068,0.135399,0
9901,211,1,-62.6395,5,2,41,0.093,-5.82548,1
9903,-999,1,99999,-1,-1,-1,-1,99999,0
9904,2212,1,93.1845,1,2,34,0.087,8.10706,1
9906,2212,1,20.4997,4,2,35,0.088,1.80397,1
9907,2212,1,32.543,2,2,43,0.094,3.05904,1
9909,2212,1,63.3652,2,2,14,0.071,4.49893,1
9909,211,1,-1.09003,4,2,33,0.086,-0.0937424,1
9913,2212,1,20.4711,5,2,31,0.085,1.74004,1
9914,211,1,99999,-1,-1,-1,-1,99999,1
9922,-999,1,-0.719656,2,2,51,0.101,-0.0726852,0
9923,2212,1,30.3178,1,2,50,0.1,3.03178,1
9924,2212,1,52.4926,2,2,9,0.067,3.51701,1
9926,2212,1,46.7391,1,2,45,0.096,4.48695,1
9928,211,1,99999,-1,-1,-1,-1,99999,1
9929,2212,1,21.889,6,2,21,0.076,1.66357,1
9932,211,1,-0.467838,6,2,23,0.078,-0.0364914,1
